stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
454_1,,,,,,,,0,454,,
455,,,,,,,,1,,,
455_1,,,,,,,,0,455,,
456,,,,,,,,1,,,
456_1,,,,,,,,0,456,,
457,,,,,,,,1,,,
457_1,,,,,,,,0,457,,
458,,,,,,,,1,,,
458_1,,,,,,,,0,458,,
459,,,,,,,,1,,,
459_1,,,,,,,,0,459,,
460,,,,,,,,1,,,
460_1,,,,,,,,0,460,,
461,,,,,,,,1,,,
461_1,,,,,,,,0,461,,
462,,,,,,,,1,,,
462_1,,,,,,,,0,462,,
463,,,,,,,,1,,,
463_1,,,,,,,,0,463,,
464,,,,,,,,1,,,
464_1,,,,,,,,0,464,,
465,,,,,,,,1,,,
465_1,,,,,,,,0,465,,
466,,,,,,,,1,,,
466_1,,,,,,,,0,466,,
467,,,,,,,,1,,,
467_1,,,,,,,,0,467,,
468,,,,,,,,1,,,
468_1,,,,,,,,0,468,,
469,,,,,,,,1,,,
469_1,,,,,,,,0,469,,
470,,,,,,,,1,,,
470_1,,,,,,,,0,470,,
471,,,,,,,,1,,,
471_1,,,,,,,,0,471,,
472,,,,,,,,1,,,
472_1,,,,,,,,0,472,,
473,,,,,,,,1,,,
473_1,,,,,,,,0,473,,
474,,,,,,,,1,,,
474_1,,,,,,,,0,474,,
475,,,,,,,,1,,,
475_1,,,,,,,,0,475,,
476,,,,,,,,1,,,
476_1,,,,,,,,0,476,,
477,,,,,,,,1,,,
477_1,,,,,,,,0,477,,
478,,,,,,,,1,,,
478_1,,,,,,,,0,478,,
479,,,,,,,,1,,,
479_1,,,,,,,,0,479,,
480,,,,,,,,1,,,
480_1,,,,,,,,0,480,,
481,,,,,,,,1,,,
481_1,,,,,,,,0,481,,
482,,,,,,,,1,,,
482_1,,,,,,,,0,482,,
483,,,,,,,,1,,,
483_1,,,,,,,,0,483,,
484,,,,,,,,1,,,
484_1,,,,,,,,0,484,,
485,,,,,,,,1,,,
485_1,,,,,,,,0,485,,
486,,,,,,,,1,,,
486_1,,,,,,,,0,486,,
487,,,,,,,,1,,,
487_1,,,,,,,,0,487,,
488,,,,,,,,1,,,
488_1,,,,,,,,0,488,,
489,,,,,,,,1,,,
489_1,,,,,,,,0,489,,
490,,,,,,,,1,,,
490_1,,,,,,,,0,490,,
491,,,,,,,,1,,,
491_1,,,,,,,,0,491,,
492,,,,,,,,1,,,
492_1,,,,,,,,0,492,,
493,,,,,,,,1,,,
493_1,,,,,,,,0,493,,
494,,,,,,,,1,,,
494_1,,,,,,,,0,494,,
495,,,,,,,,1,,,
495_1,,,,,,,,0,495,,
496,,,,,,,,1,,,
496_1,,,,,,,,0,496,,
497,,,,,,,,1,,,
497_1,,,,,,,,0,497,,
498,,,,,,,,1,,,
498_1,,,,,,,,0,498,,
499,,,,,,,,1,,,
499_1,,,,,,,,0,499,,
500,,,,,,,,1,,,
500_1,,,,,,,,0,500,,
501,,,,,,,,1,,,
501_1,,,,,,,,0,501,,
502,,,,,,,,1,,,
502_1,,,,,,,,0,502,,
503,,,,,,,,1,,,
503_1,,,,,,,,0,503,,
504,,,,,,,,1,,,
504_1,,,,,,,,0,504,,
505,,,,,,,,1,,,
505_1,,,,,,,,0,505,,
506,,,,,,,,1,,,
506_1,,,,,,,,0,506,,
507,,,,,,,,1,,,
507_1,,,,,,,,0,507,,
508,,,,,,,,1,,,
508_1,,,,,,,,0,508,,
509,,,,,,,,1,,,
509_1,,,,,,,,0,509,,
510,,,,,,,,1,,,
510_1,,,,,,,,0,510,,
511,,,,,,,,1,,,
511_1,,,,,,,,0,511,,
512,,,,,,,,1,,,
512_1,,,,,,,,0,512,,
513,,,,,,,,1,,,
513_1,,,,,,,,0,513,,
514,,,,,,,,1,,,
514_1,,,,,,,,0,514,,
515,,,,,,,,1,,,
515_1,,,,,,,,0,515,,
516,,,,,,,,1,,,
516_1,,,,,,,,0,516,,
517,,,,,,,,1,,,
517_1,,,,,,,,0,517,,
518,,,,,,,,1,,,
518_1,,,,,,,,0,518,,
519,,,,,,,,1,,,
519_1,,,,,,,,0,519,,
520,,,,,,,,1,,,
520_1,,,,,,,,0,520,,
521,,,,,,,,1,,,
521_1,,,,,,,,0,521,,
522,,,,,,,,1,,,
522_1,,,,,,,,0,522,,
523,,,,,,,,1,,,
523_1,,,,,,,,0,523,,
524,,,,,,,,1,,,
524_1,,,,,,,,0,524,,
525,,,,,,,,1,,,
525_1,,,,,,,,0,525,,
526,,,,,,,,1,,,
526_1,,,,,,,,0,526,,
527,,,,,,,,1,,,
527_1,,,,,,,,0,527,,
528,,,,,,,,1,,,
528_1,,,,,,,,0,528,,
529,,,,,,,,1,,,
529_1,,,,,,,,0,529,,
530,,,,,,,,1,,,
530_1,,,,,,,,0,530,,
531,,,,,,,,1,,,
531_1,,,,,,,,0,531,,
532,,,,,,,,1,,,
532_1,,,,,,,,0,532,,
533,,,,,,,,1,,,
533_1,,,,,,,,0,533,,
534,,,,,,,,1,,,
